Identifiant;n° notice BnF;Type de notice ;Type de document;Titre;Auteur;Contributeur;Date;Description;Sujet;Couverture;Langue;
http://catalogue.bnf.fr/ark:/12148/cb325507025;32550702;monographie;texte imprimé;Critique des deux plus anciennes chartes de l'abbaye de Saint-Germain des Prés / [signé J. Quicherat];Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;;;;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb31163946f;31163946;monographie;texte imprimé;École royale des Chartes. Séance d'inauguration, 5 mai 1847;Quicherat, Jules (1814-1882). Auteur du texte;École nationale des chartes (Paris). Éditeur scientifique;;Comprend : Histoire du costume en France au XIVe siècle;;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb311639573;31163957;monographie;texte imprimé;L'opinion de M. de Saulcy sur la bataille entre Labiénus et les Parisiens / [signé : J. Quicherat];Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;;;;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb311639693;31163969;monographie;texte imprimé;Solution des problèmes proposés par Chosroès, traité inédit de Priscien le Philosophe. [Signé : J. Quicherat.];Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;;;;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb311639720;31163972;monographie;texte imprimé;Thomas Basin, sa vie et ses écrits... [Signé : Jules Quicherat.];Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;;;;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb31163959s;31163959;monographie;texte imprimé;Procès de condamnation et de réhabilitation de Jeanne d'Arc, dite la Pucelle : publiés pour la première fois d'après les manuscrits de la Bibliothèque royale, suivis de tous les documents historiques qu'on a pu réunir et accompagnés de notes et d'éclaircissements / par Jules Quicherat...;Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;Société de l'histoire de France. Éditeur scientifique;1841-1849;"[Procès. Jeanne d'Arc (sainte). 1431/1456] | Comprend : Vol. 1, Procès de condamnation ; Vol. 2, Procès de réhabilitation. Préliminaires de la réhabilitation non insérés au procès ; Vol. 3, Procès de réhabilitation. Rédaction primitive du procès de réhabilitation d'après le manuscrit de d'Urfé. Opinions et mémoires extrajudiciaires publiés du vivant de Jeanne d'Arc ; Vol. 4, Témoignages des chroniqueurs et historiens du XVe siècle ; Vol. 5, Témoignages des poètes du XVe siècle. Lettres, actes et autres pièces détachées. Témoignages extraits des livres de comptes. Documents relatifs à l'Institution et aux premières célébrations de la fête du 8 mai, jour anniversaire de la délivrance d'Orléans. Documents sur la fausse Jeanne d'Arc qui parut de 1436 à 1440. Supplément aux pièces et extraits concernant la Pucelle. Itinéraire de la Pucelle. Notice littéraire du procès du condamnation. Notice des pièces de la réhabilitation. Table analytique | ";"Jeanne d'Arc (1412-1431 ; sainte) -- Procès | Jeanne d'Arc (1412-1431 ; sainte) -- Procès de réhabilitation | ";;lat;
http://catalogue.bnf.fr/ark:/12148/cb31163953q;31163953;monographie;texte imprimé;Notice sur l'ouvrage intitulé : Les Manuscrits françois de la Bibliothèque du Roi. [Signé : Jules Quicherat.];Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;1845;;;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb31163977q;31163977;monographie;texte imprimé;Vie de Rodrigue de Villandrando, capitaine de compagnie sous Charles VII, par M. Jules Quicherat,...;Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;1845;;;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb456525185;45652518;notice de recueil factice | recueil de pièces;texte imprimé;[Recueil. Dossiers biographiques Boutillier du Retail. Documentation sur Raimond du Temple];Quicherat, Jules (1814-1882). Auteur du texte | Boutillier du Retail, Armand (1882-1943) | ;Boutillier du Retail, Armand (1882-1943). Collecteur;1846;Comprend : Titres concernant Raimond du Temple, architecte du roi Charles V;Raymond du Temple (13..-1404?) -- Biographie -- Sources;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb311639542;31163954;monographie;texte imprimé;Notice sur plusieurs registres de l'oeuvre de la cathédrale de Troyes / par M. Jules Quicherat,...;Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;1848;;Troyes (France);;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb311639709;31163970;monographie;texte imprimé;Sur la porte de l'hôtel de Clisson servant actuellement d'entrée à l'École nationale des Chartes / par Jules Quicherat,...;Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;1848;;;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb31163935s;31163935;monographie;texte imprimé;Aperçus nouveaux sur l'histoire de Jeanne d'Arc / par J. Quicherat,...;Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;1850;;;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb31163941q;31163941;monographie;texte imprimé;Documents inédits sur la construction de Saint-Ouen de Rouen / publiés et commentés par J. Quicherat,...;Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;1852;;Rouen (France);;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb311639511;31163951;monographie;texte imprimé;Du lieu de la bataille entre Labiénus et les Parisiens / par M. J. Quicherat,...;Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;1852;;;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb31163949g;31163949;monographie;texte imprimé;Histoire du siège d'Orléans et des honneurs rendus à la Pucelle / par Jules Quicherat;Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;1854;;France (1422-1461, Charles VII);;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb36432910s;36432910;monographie;texte imprimé;"Histoire des règnes de Charles VII et de Louis XI / par Thomas Basin,... ; publ... par J. Quicherat";Basin, Thomas (1412-1490). Auteur du texte | Basin, Thomas (1412-1490) | Quicherat, Jules (1814-1882) | Amelgard | ;Quicherat, Jules (1814-1882). Éditeur scientifique | Amelgard. Auteur prétendu du texte | Société de l'histoire de France. Éditeur scientifique | ;1855-1859;;"Louis XI (1423-1483 ; roi de France) | Charles VII (1403-1461 ; roi de France) | ";;lat | latin | ;
http://catalogue.bnf.fr/ark:/12148/cb30066390p;30066390;monographie;texte imprimé;Les vers de maître Henri Baude, poète du XVe siècle / recueillis et publiés, avec les actes qui concernent sa vie, par M. J. Quicherat;Baude, Henri (1430?-1496?). Auteur du texte | Baude, Henri (1430?-1496?) | Quicherat, Jules (1814-1882) | PoèteNé à Moulins, receveur des tailles à Tulle en 1455 | ;Quicherat, Jules (1814-1882). Éditeur scientifique;1856;;;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb31163934f;31163934;monographie;texte imprimé;L'Alésia de César rendue à la Franche-Comté : réfutation de tous les mémoires pour Alise : lue à la Société impériale des antiquaires de France... 13 et... 20 mai 1857 / par J. Quicherat,...;Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;1857;;Alésia (ville ancienne);;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb31163974p;31163974;monographie;texte imprimé;Un manuscrit interpolé de la Chronique scandaleuse, dissertation et extraits pour servir à l'histoire du règne de Louis XI / par J. Quicherat;Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;1857;;France (1461-1483, Louis XI);;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb31163938t;31163938;monographie;texte imprimé;Conclusion pour Alaise dans la question d'Alésia / par J. Quicherat,...;Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;1858;;Alésia (ville ancienne);;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb31163961b;31163961;monographie;texte imprimé;La question d'Alésia dans la "Revue des deux mondes" / [signé : J. Quicherat];Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;1858;;Alésia (ville ancienne);;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb325507056;32550705;monographie;texte imprimé;De l'enregistrement des contrats à la curie / [signé J. Quicherat];Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;1860;;;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb311639453;31163945;monographie;texte imprimé;Histoire de Sainte-Barbe, collège, communauté, institution / par J. Quicherat,...;Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;1860-1864;;;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb31163956r;31163956;monographie;texte imprimé;Nouvelle défaite des défenseurs d'Alise sur le terrain d'Alésia / par J. Quicherat;Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;1861;;Alésia (ville ancienne);;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb31163962p;31163962;monographie;texte imprimé;La Question d'Alésia dans le "Moniteur de l'armée";Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | Delacroix, Alphonse (1807-1878) | Delacroix, Alphonse (1807-1878). Auteur du texte | ;;1862;;Alésia (ville ancienne);;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb31163943d;31163943;monographie;texte imprimé;Explication du mot "ventaille", dans les chansons de geste / par M. J. Quicherat,...;Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;1863;;;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb31163971n;31163971;monographie;texte imprimé;Sur un anneau sigillaire de l'époque mérovingienne / par M. Quicherat,...;Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;1863;;;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb311639395;31163939;monographie;texte imprimé;Critique des deux plus anciennes chartes de l'abbaye de Saint-Germain-des-Prés / par J. Quicherat...;Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;1865;;"Childebert Ier (0495?-0558 ; roi des Francs) | Germain (Saint), évêque de Paris (Actes royaux) | Paris -- Abbayes et couvents, Saint-Germain des Prés (Actes royaux) | Paris -- prieurés (Actes royaux) | ";;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb320912516;32091251;monographie;texte imprimé;Examen des armes trouvées à Alise-Sainte-Reine, dissertation relative à la question d'Alésia;Quicherat, Jules (1814-1882). Auteur du texte | Fallue, Léon (1795-1868). Auteur du texte | Quicherat, Jules (1814-1882) | ;;1865;Comprend : A propos des armes trouvées à Alise-Sainte-Reine;Alésia (ville ancienne) | Alise-Sainte-Reine (Côte-d'Or) | ;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb311639422;31163942;monographie;texte imprimé;Examen des armes trouvées à Alise-Sainte-Reine, dissertation relative à la question d'Alésia / par J. Quicherat,...;Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;1865;;Alésia (ville ancienne) | Alise-Sainte-Reine (Côte-d'Or) | ;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb32550712g;32550712;monographie;texte imprimé;Les trois Saint-Germain de Paris / par M. J. Quicherat,...;Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;1865;;;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb31163955d;31163955;monographie;texte imprimé;Nouveaux documents sur Charles VII et Jeanne Darc, fournis par M. J. Quicherat... [Signé : J. Bouquet.];Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;1866;;;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb31163958f;31163958;monographie;texte imprimé;Le "pilum" de l'infanterie romaine / par J. Quicherat,...;Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;1866;;Alésia (ville ancienne);;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb31163944r;31163944;monographie;texte imprimé;De la formation française des anciens noms de lieu : traité pratique suivi de remarques sur des noms de lieu fournis par divers documents / par J. Quicherat,...;Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;1867;;Noms géographiques -- France;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb325507087;32550708;monographie;texte imprimé;Notice sur Alexandre Bixio, par M. J. Quicherat,...;Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;1867;;;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb311639751;31163975;monographie;texte imprimé;D'Un peuple allobrige différent des Allobroges, par J. Quicherat,...;Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;1869;;;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb31163940c;31163940;monographie;texte imprimé;Discours prononcé aux obsèques d'Antoine-Jean-Victor Le Roux de Lincy,... 15 mai 1869 / par M. J. Quicherat;Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;1869;;Le Roux de Lincy, Antoine-Jean Victor;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb311639662;31163966;monographie;texte imprimé;Restitution de la basilique de Saint-Martin de Tours : d'après Grégoire de Tours et les autres textes anciens / par J. Quicherat,...;Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;1869;;Tours;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb31432912s;31432912;monographie;texte imprimé;Catalogue général des manuscrits des bibliothèques publiques des départements. Tome IV / publié sous les auspices du Ministre de l'instruction publique;Quicherat, Jules (1814-1882). Auteur du texte | Taranne, Nicolas-Rodolphe (1795-1857). Auteur du texte | Michelant, Henri-Victor (1811-1890). Auteur du texte | Delisle, Léopold (1826-1910). Auteur du texte | France. Ministère de l'instruction publique. Auteur du texte | ;;1872;"Comprend : Arras / [par Jules Quicherat] ; Avranches / [par Taranne et Léopold Delisle] ; Catalogue des manuscrits de la bibliothèque de Boulogne";Manuscrits | Manuscrits -- France | ;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb311639333;31163933;monographie;texte imprimé;L'âge de la cathédrale de Laon / [signé : J. Quicherat];Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;1874;;Laon (France);;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb311639631;31163963;monographie;texte imprimé;La question du ferrage des chevaux en Gaule... / par M. J. Quicherat,...;Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;1874;;;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb31163947s;31163947;monographie;texte imprimé;Histoire du costume en France depuis les temps les plus reculés jusqu'à la fin du XVIIIe siècle / par J. Quicherat,...;Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;1875;;;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb40195388s;40195388;monographie;texte imprimé;Edgard Boutaric 1829-1877 / [bibliogr. signée : "A. B. et P. B."];Maury, Alfred (1817-1892). Auteur du texte | Ravaisson, Félix (1813-1900). Auteur du texte | Quicherat, Jules (1814-1882). Auteur du texte | ;;1877;"Comprend : Discours de M. Alfred Maury, directeur général des Archives nationales, prononcé, le 19 décembre 1877, aux funérailles de M. Edgard Boutaric ; Discours de M. Ravaisson-Mollien, président de l'Académie des inscriptions et belles-lettres ; Discours de M. Jules Quicherat, directeur de l'Ecole nationale des chartes";Boutaric, Edgard (1829-1877) -- Mort;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb311639484;31163948;monographie;texte imprimé;Histoire du costume en France depuis les temps les plus reculés jusqu'à la fin du XVIIIe siècle (2e éd.) par J. Quicherat,...;Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | Rieux, Max de (1901?-1963) | ;;1877;;;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb311639364;31163936;monographie;texte imprimé;La Basilique de Fanum, construite par Vitruve, par M. J. Quicherat...;Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;1878;;;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb31163937g;31163937;monographie;texte imprimé;Catalogue général des manuscrits des bibliothèques publiques des départements. Tome V;Quicherat, Jules (1814-1882). Auteur du texte | Michelant, Henri-Victor (1811-1890). Auteur du texte | Quicherat, Jules (1814-1882). Auteur du texte | Didiot, Jules (1840-1903). Auteur du texte | France. Ministère de l'instruction publique. Auteur du texte | ;;1879;"Comprend : Metz / [par Jules Quicherat ; avec une notice sur la bibliothèque par Prost] ; Catalogue des manuscrits de la bibliothèque de Verdun ; Charleville / [par Jules Quicherat]";Manuscrits | Manuscrits -- France | ;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb31163965q;31163965;monographie;texte imprimé;Relation inédite sur Jeanne d'Arc : extraite du "Livre noir" de l'hôtel-de-ville de La Rochelle / publiée par J. Quicherat,...;Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;1879;;France (1422-1461, Charles VII);;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb31163967d;31163967;monographie;texte imprimé;Rodrigue de Villandrando, l'un des combattants pour l'indépendance française au quinzième siècle / par J. Quicherat,...;Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;1879;;;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb31163976c;31163976;monographie;texte imprimé;Une tombe plate dans l'église de Sainte-Praxède à Rome, par M. J. Quicherat...;Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;1879;;;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb31163950p;31163950;monographie;texte imprimé;Jean de Meung et sa maison à Paris / [signé : J. Quicherat];Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;1880;;Monuments historiques -- France -- Paris (France) | Sites historiques -- France -- Paris (France) | ;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb31163964c;31163964;monographie;texte imprimé;Rapport sur diverses communications présentées au Comité des travaux historiques, par M. Jules Quicherat,...;Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;1880;;;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb387792078;38779207;monographie;texte imprimé;"Recueil de fac-similés à l'usage de l'Ecole des Chartes / [sous la dir. de J. Quicherat et P. Meyer] ; [avec des notices de A. Giry]";Quicherat, Jules (1814-1882) | Meyer, Paul (1840-1917) | Giry, Arthur (1848-1899) | École nationale des chartes (Paris). Auteur du texte | ;Quicherat, Jules (1814-1882). Directeur de publication | Meyer, Paul (1840-1917). Directeur de publication | Giry, Arthur (1848-1899). Éditeur scientifique | ;1880;;;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb32550709k;32550709;monographie;texte imprimé;La rue et le château Hautefeuille à Paris / par M. Jules Quicherat,...;Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;1882;;Paris (France) -- Rue Hautefeuille;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb31163952c;31163952;monographie;texte imprimé;Mélanges d'archéologie et d'histoire... / Jules Quicherat;Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | Giry, Arthur (1848-1899) | Castan, Auguste (1833-1892) | Lasteyrie, Robert de (1849-1921) | ;Giry, Arthur (1848-1899). Éditeur scientifique | Castan, Auguste (1833-1892). Éditeur scientifique | Lasteyrie, Robert de (1849-1921). Éditeur scientifique | ;1885-1886;"Comprend : [I.] Antiquités celtiques, romaines et gallo-romaines, mémoires et fragments, réunis et mis en ordre par Arthur Giry et Auguste Castan. Précédés d'une Notice sur la vie et les travaux de J. Quicherat par Robert de Lasteyrie et d'une Bibliographie de ses oeuvres ; [II.] Archéologie du moyen âge, mémoires et fragments réunis par Robert de Lasteyrie";Archéologie médiévale;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb34021809w;34021809;monographie;texte imprimé;"Mémoires et consultations en faveur de Jeanne d'Arc / par les juges du procès de réhabilitation, d'après les manuscrits authentiques ; publiés pour la première fois par Pierre Lanéry d'Arc,... pour servir de complément et de tome VI aux "Procès de condamnation et de réhabilitation" de Jules Quicherat";Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | Lanéry d'Arc, Pierre (1861-1920) | ;Lanéry d'Arc, Pierre (1861-1920). Éditeur scientifique;1889;[Procès. Jeanne d'Arc (sainte). 1431];France -- 1422-1461 (Charles VII);;lat | latin | ;
http://catalogue.bnf.fr/ark:/12148/cb42199834g | ISBN 9782750423971 | ;42199834;monographie;texte imprimé;De la formation française des anciens noms de lieu : traité pratique suivi de remarques sur des noms de lieu fournis ([Reproduction en fac-similé]) J. Quicherat;Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;1867;Collection : (Rediviva) | Code à barres commercial : EAN 9782750423971 | ;Noms géographiques -- France;;fre | français | ;
