Nom Société,Date_Creation,Ville,Id_CTHS
Académie chablaisienne,1886-01-01T01:00:00Z,Thonon-les-Bains,https://cths.fr/an/societe.php?id=632
Académie d'agriculture de France (AAF),1761-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=502
"Académie d'agriculture, sciences, arts et belles-lettres d'Orléans",1809-01-01T01:00:00Z,Orléans,https://cths.fr/an/societe.php?id=1641
Académie d'Arcadie,1690-01-01T01:00:00Z,Le Mont-Saint-Adrien,https://cths.fr/an/societe.php?id=3069
Académie d'architecture,1840-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=466
Académie d'Auxerre,1749-01-01T01:00:00Z,Auxerre,https://cths.fr/an/societe.php?id=2816
Académie de Castres,1648-01-01T01:00:00Z,Castres,https://cths.fr/an/societe.php?id=100310
Académie de la Val d'Isère (ADVI),1865-01-01T01:00:00Z,Moûtiers,https://cths.fr/an/societe.php?id=21
Académie de législation,1851-01-01T01:00:00Z,Toulouse,https://cths.fr/an/societe.php?id=269
Académie de médecine,1820-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=345
Académie de Montauban ,1730-01-01T01:00:00Z,Montauban,https://cths.fr/an/societe.php?id=1582
Académie de Nîmes,1635-01-01T01:00:00Z,Nîmes,https://cths.fr/an/societe.php?id=247
Académie de Stanislas,1750-01-01T01:00:00Z,Nancy,https://cths.fr/an/societe.php?id=151
Académie de Trévoux,1707-01-01T01:00:00Z,Trévoux,https://cths.fr/an/societe.php?id=2839
Académie de Vaucluse,1801-01-01T01:00:00Z,Avignon,https://cths.fr/an/societe.php?id=1561
Académie de Versailles et d'Île-de-France,1834-01-01T01:00:00Z,Versailles,https://cths.fr/an/societe.php?id=1457
Académie de Villefranche et du Beaujolais,1677-01-01T01:00:00Z,Villefranche-sur-Saône,https://cths.fr/an/societe.php?id=635
Académie delphinale,1772-01-01T01:00:00Z,Grenoble,https://cths.fr/an/societe.php?id=611
Académie des arts et belles-lettres d'Arles (Académie d'Arles),1666-01-01T01:00:00Z,Arles,https://cths.fr/an/societe.php?id=575
Académie des arts et sciences de Carcassonne,1836-01-01T01:00:00Z,Carcassonne,https://cths.fr/an/societe.php?id=243
Académie des beaux-arts,1803-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=507
Académie des belles-lettres de Corse,1749-01-01T01:00:00Z,Bastia,https://cths.fr/an/societe.php?id=100347
"Académie des belles-lettres, sciences et arts de La Rochelle",1732-01-01T01:00:00Z,La Rochelle,https://cths.fr/an/societe.php?id=682
Académie des inscriptions et belles-lettres (AIBL),1663-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=394
Académie des jeux floraux,1323-01-01T01:00:00Z,Toulouse,https://cths.fr/an/societe.php?id=543
Académie des Lincei,1603-01-01T01:00:00Z,Le Mont-Saint-Adrien,https://cths.fr/an/societe.php?id=4147
Académie des muses santones,1875-01-01T01:00:00Z,Saint-Jean-d'Angély,https://cths.fr/an/societe.php?id=100688
Académie des sciences ,1640-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=506
Académie des sciences de l'Institut de Bologne,1690-01-01T01:00:00Z,Bologne,https://cths.fr/an/societe.php?id=4470
Académie des sciences et lettres de Montpellier,1706-01-01T01:00:00Z,Montpellier,https://cths.fr/an/societe.php?id=1119
Académie des sciences morales et politiques (ASMP),1795-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=2797
"Académie des sciences, agriculture, art et belles-lettres d'Aix-en-Provence",1808-01-01T01:00:00Z,Aix-en-Provence,https://cths.fr/an/societe.php?id=2320
"Académie des sciences, arts et belles-lettres de Caen",1652-01-01T01:00:00Z,Caen,https://cths.fr/an/societe.php?id=1711
"Académie des sciences, arts et belles-lettres de Dijon",1725-01-01T01:00:00Z,Dijon,https://cths.fr/an/societe.php?id=1848
"Académie des sciences, arts et belles-lettres de Mâcon (Académie de Mâcon)",1805-01-01T01:00:00Z,Mâcon,https://cths.fr/an/societe.php?id=815
"Académie des sciences, arts et belles-lettres de Touraine (Académie de Touraine)",1761-01-01T01:00:00Z,Tours,https://cths.fr/an/societe.php?id=1627
"Académie des sciences, belles-lettres et arts de Besançon et de Franche-Comté",1752-01-01T01:00:00Z,Besançon,https://cths.fr/an/societe.php?id=1718
"Académie des sciences, belles-lettres et arts de Clermont-Ferrand (ACAD-SBLA)",1747-01-01T01:00:00Z,Clermont-Ferrand,https://cths.fr/an/societe.php?id=1615
"Académie des sciences, belles-lettres et arts de Lyon (SBLA-Lyon)",1700-01-01T01:00:00Z,Lyon,https://cths.fr/an/societe.php?id=1584
"Académie des sciences, belles-lettres et arts de Rouen (Académie de Rouen)",1744-01-01T01:00:00Z,Rouen,https://cths.fr/an/societe.php?id=1516
"Académie des sciences, belles-lettres et arts de Savoie (Académie de Savoie)",1820-01-01T01:00:00Z,Chambéry,https://cths.fr/an/societe.php?id=9
"Académie des sciences, belles-lettres et arts d’Angers (Académie d'Angers)",1685-01-01T01:00:00Z,Angers,https://cths.fr/an/societe.php?id=1583
"Académie des sciences, inscriptions et belles-lettres de Toulouse (ASIBL)",1640-01-01T01:00:00Z,Toulouse,https://cths.fr/an/societe.php?id=270
"Académie des sciences, lettres et arts d'Agen",1776-01-01T01:00:00Z,Agen,https://cths.fr/an/societe.php?id=116
"Académie des sciences, lettres et arts d'Amiens",1746-01-01T01:00:00Z,Amiens,https://cths.fr/an/societe.php?id=1493
"Académie des sciences, lettres et arts d'Arras (Académie d'Arras)",1737-01-01T01:00:00Z,Arras,https://cths.fr/an/societe.php?id=1274
"Académie des sciences, lettres et arts de Marseille (Académie de Marseille)",1726-01-01T01:00:00Z,Marseille,https://cths.fr/an/societe.php?id=199
"Académie drômoise des lettres, sciences et arts",1784-01-01T01:00:00Z,Bourg-lès-Valence,https://cths.fr/an/societe.php?id=100475
Académie du Centre,1878-01-01T01:00:00Z,Châteauroux,https://cths.fr/an/societe.php?id=320
Académie du Var,1800-01-01T01:00:00Z,Toulon,https://cths.fr/an/societe.php?id=203
Académie florimontane d'Annecy,1607-01-01T01:00:00Z,Annecy,https://cths.fr/an/societe.php?id=1565
Académie française,1635-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=2789
Académie Julien Sacaze,1888-01-01T01:00:00Z,Bagnères-de-Luchon,https://cths.fr/an/societe.php?id=546
Académie lorraine des sciences (ALS),1828-01-01T01:00:00Z,Nancy,https://cths.fr/an/societe.php?id=873
"Académie nationale agricole, manufacturière et commerciale",1830-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=4625
Académie nationale de Metz (ANM),1757-01-01T01:00:00Z,Metz,https://cths.fr/an/societe.php?id=1770
Académie nationale de pharmacie,1796-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=503
Académie nationale de Reims (ANR),1841-01-01T01:00:00Z,Reims,https://cths.fr/an/societe.php?id=75
"Académie nationale des sciences, belles-lettres et arts de Bordeaux",1712-01-01T01:00:00Z,Bordeaux,https://cths.fr/an/societe.php?id=957
Académie nationale des XL,1782-01-01T01:00:00Z,Le Mont-Saint-Adrien,https://cths.fr/an/societe.php?id=4036
"Académie réunionnaise des sciences, lettres et arts",1855-01-01T01:00:00Z,Saint-Denis,https://cths.fr/an/societe.php?id=100296
Académie royale d'architecture,1671-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=100462
Académie royale de chirurgie,1731-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=5077
Académie royale de marine,1752-01-01T01:00:00Z,Brest,https://cths.fr/an/societe.php?id=2338
Académie royale de musique,1749-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=3072
Académie royale de peinture et de sculpture,1648-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=3070
Académie royale des belles-lettres d'Angers,1685-01-01T01:00:00Z,Angers,https://cths.fr/an/societe.php?id=100809
Académie royale des inscriptions et belles-lettres,1663-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=100677
Académie royale des sciences,1666-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=100679
Académie royale des sciences et beaux-arts de Pau,1718-01-01T01:00:00Z,Pau,https://cths.fr/an/societe.php?id=100777
Académie royale des sciences et belles lettres de Béziers,1723-01-01T01:00:00Z,Béziers,https://cths.fr/an/societe.php?id=100741
Académie salésienne,1878-01-01T01:00:00Z,Annecy,https://cths.fr/an/societe.php?id=2
Académie vétérinaire de France (AVF),1844-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=400
Agridées,1867-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=100352
Alliance scientifique universelle ,1877-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=100747
Alliance universitaire d'Auvergne,1884-01-01T01:00:00Z,Clermont-Ferrand,https://cths.fr/an/societe.php?id=2197
Amicale des anciens élèves de l'École polytechnique de Paris,1865-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=3687
"Amis de l'Académie de sciences, arts et belles-lettres de Rouen",1752-01-01T01:00:00Z,Rouen,https://cths.fr/an/societe.php?id=3684
Amis du musée d'histoire de la médecine et de la pharmacie,1854-01-01T01:00:00Z,Lyon,https://cths.fr/an/societe.php?id=100235
Association bretonne,1843-01-01T01:00:00Z,Plouénan,https://cths.fr/an/societe.php?id=1911
Association d'historiens de l'Est,1887-01-01T01:00:00Z,Nancy,https://cths.fr/an/societe.php?id=2301
Association des industriels de France contre les accidents du travail,1883-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=4467
Association des naturalistes de Levallois-Perret,1884-01-01T01:00:00Z,Levallois-Perret,https://cths.fr/an/societe.php?id=100321
Association des naturalistes des Yvelines (ANY),1832-01-01T01:00:00Z,Rocquencourt,https://cths.fr/an/societe.php?id=377
Association française de chirurgie,1884-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=4354
Association française du gaz (AFAGAZ),1874-01-01T01:00:00Z,Neuilly-sur-Seine,https://cths.fr/an/societe.php?id=403
Association française pour l'avancement des sciences (AFAS),1872-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=2554
Association générale des médecins de France (AGMF),1858-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=4253
Association lyonnaise des amis des sciences naturelles,1872-01-01T01:00:00Z,Lyon,https://cths.fr/an/societe.php?id=100375
"Association normande pour le progrès de l'agriculture, l'industrie, les sciences et arts de Honfleur",1831-01-01T01:00:00Z,Honfleur,https://cths.fr/an/societe.php?id=1859
"Association normande pour les progrès de l'agriculture, de l'industrie et des arts de Caen (Association normande de CAen)",1831-01-01T01:00:00Z,Caen,https://cths.fr/an/societe.php?id=100042
Association philomathique d'Alsace et de Lorraine,1862-01-01T01:00:00Z,Strasbourg,https://cths.fr/an/societe.php?id=161
Association philotechnique Paris,1848-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=4599
Association polytechnique pour le développement de l'instruction publique,1830-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=100728
Association pour l'encouragement des études grecques en France (AEG),1867-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=1506
Association pyrénéenne,1888-01-01T01:00:00Z,Toulouse,https://cths.fr/an/societe.php?id=100266
Association scientifique de France (AFAS),1864-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=4540
"Athénée des arts, sciences, belles-lettres et industrie de Paris",1792-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=100413
Athénée médical de Montpellier,1804-01-01T01:00:00Z,Montpellier,https://cths.fr/an/societe.php?id=100672
Bureau des longitudes ,1795-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=100749
Bureau international de l'édition française (BIEF),1873-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=5061
Casino commercial et littéraire,1814-01-01T01:00:00Z,Strasbourg,https://cths.fr/an/societe.php?id=1878
Caveau stéphanois,1883-01-01T01:00:00Z,Saint-Étienne-de-Saint-Geoirs,https://cths.fr/an/societe.php?id=1873
Centre beaunois d'études historiques-Société d'histoire et d'archéologie de Beaune (CBEH-SHAB),1851-01-01T01:00:00Z,Beaune,https://cths.fr/an/societe.php?id=799
Centre d'histoire de la résistance et de la déportation (CHRD),1867-01-01T01:00:00Z,Lyon,https://cths.fr/an/societe.php?id=1117
Centre international de documentation et de recherche du Petit Palais d'Avignon (CIDRPPA),1878-01-01T01:00:00Z,Avignon,https://cths.fr/an/societe.php?id=597
Cercle archéologique et historique de Valenciennes et de son arrondissement (CAHV),1831-01-01T01:00:00Z,Valenciennes,https://cths.fr/an/societe.php?id=1321
Cercle des prolétaires positivistes,1865-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=100762
Cercle généalogique de Loir-et-Cher (CGLC),1000-01-01T01:00:00Z,Blois,https://cths.fr/an/societe.php?id=458
Club alpin français (FFCAM),1874-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=100038
Club vosgien,1872-01-01T01:00:00Z,Strasbourg,https://cths.fr/an/societe.php?id=2050
Collège de pharmacie,1777-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=5088
Collège international de neuropsychopharmacologie (CINP),1258-01-01T01:00:00Z,Vienne,https://cths.fr/an/societe.php?id=4959
Comité cantonal du Souvenir français de Champagney (LSF-Haute-Saône),1887-01-01T01:00:00Z,Frotey-lès-Lure,https://cths.fr/an/societe.php?id=3750
Comité des travaux historiques et scientifiques (CTHS),1834-01-01T01:00:00Z,Aubervilliers,https://cths.fr/an/societe.php?id=2790
Comité flamand de France,1853-01-01T01:00:00Z,Hazebrouck,https://cths.fr/an/societe.php?id=1311
Comité international d'histoire de l'art (CIHA),1873-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=4211
Comité méditerranéen d'études et de recherches sur l'environnement,1360-01-01T01:00:00Z,Fraissé-des-Corbières,https://cths.fr/an/societe.php?id=1152
Commission archéologique et littéraire de Narbonne,1833-01-01T01:00:00Z,Narbonne,https://cths.fr/an/societe.php?id=666
Commission de topographie des Gaules  (CTG),1858-01-01T01:00:00Z,Saint-Germain-en-Laye,https://cths.fr/an/societe.php?id=100778
Commission départementale des antiquités de la Seine-Maritime (CDA),1818-01-01T01:00:00Z,Rouen,https://cths.fr/an/societe.php?id=2654
Commission départementale d’histoire et d’archéologie du Pas-de-Calais,1846-01-01T01:00:00Z,Dainville,https://cths.fr/an/societe.php?id=1334
Commission des antiquités du département de la Côte-d'or,1830-01-01T01:00:00Z,Dijon,https://cths.fr/an/societe.php?id=1032
Commission des antiquités et des arts du département de Seine-et-Oise,1878-01-01T01:00:00Z,Cergy-Pontoise,https://cths.fr/an/societe.php?id=1460
Commission des arts et monuments historiques de la Charente-Inférieure,1860-01-01T01:00:00Z,Saintes,https://cths.fr/an/societe.php?id=100686
Commission des monuments historiques de la Gironde,1840-01-01T01:00:00Z,Bordeaux,https://cths.fr/an/societe.php?id=100465
Commission historique du Nord (CHN),1839-01-01T01:00:00Z,Lille,https://cths.fr/an/societe.php?id=1502
Congrès provincial des Orientalistes,1878-01-01T01:00:00Z,Lyon,https://cths.fr/an/societe.php?id=100631
Connaissance de Pont-Audemer et de sa région,1799-01-01T01:00:00Z,Pont-Audemer,https://cths.fr/an/societe.php?id=718
Conseil héraldique de France,1885-01-01T01:00:00Z,Lannion,https://cths.fr/an/societe.php?id=100680
Consortium des sociétés savantes de la Seine-Maritime,1857-01-01T01:00:00Z,Rouen,https://cths.fr/an/societe.php?id=1886
École félibréenne de Lérins,1887-01-01T01:00:00Z,Aix-en-Provence,https://cths.fr/an/societe.php?id=3143
Escolo de la sedo/ École de la soie,1883-01-01T01:00:00Z,Saint-Genis-Laval,https://cths.fr/an/societe.php?id=3078
Exécution testamentaire d'Auguste Comte,1855-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=100760
Fédération audoise des œuvres laïques (FAOL11),1866-01-01T01:00:00Z,Carcassonne,https://cths.fr/an/societe.php?id=1149
"Fédération des industries électriques, électroniques et de communication (FIECC)",1879-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=4464
Fédération nationale des associations de chimie de France (France chimie),1860-01-01T01:00:00Z,Puteaux,https://cths.fr/an/societe.php?id=4093
Institut d'Égypte,1798-01-01T01:00:00Z,Le Caire,https://cths.fr/an/societe.php?id=100791
Institut de France,1816-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=2715
Institut des Provinces,1838-01-01T01:00:00Z,Caen,https://cths.fr/an/societe.php?id=2822
Institut français d'archéologie orientale (IFAO),1880-01-01T01:00:00Z,Châtillon,https://cths.fr/an/societe.php?id=100790
Institut historique de France,1834-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=100474
Institut national,1795-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=100788
Jardins Touraine 1600,1600-01-01T01:00:00Z,Chambray-lès-Tours,https://cths.fr/an/societe.php?id=3331
La Bruyère,1888-01-01T01:00:00Z,Sedan,https://cths.fr/an/societe.php?id=4433
La Diana. Société historique et archéologique du Forez (La Diana),1862-01-01T01:00:00Z,Montbrison,https://cths.fr/an/societe.php?id=620
La lyonnaise des beaux-arts (SLBA),1887-01-01T01:00:00Z,Lyon,https://cths.fr/an/societe.php?id=100063
La maison roumaine,1882-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=3382
La Physiophile,1888-01-01T01:00:00Z,Montceau-les-Mines,https://cths.fr/an/societe.php?id=1034
Le Félibrige,1854-01-01T01:00:00Z,Aix-en-Provence,https://cths.fr/an/societe.php?id=100054
Le vieux Montmartre (SHAVM),1886-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=1947
Les amis de la Commune de Paris (1871),1882-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=2761
Les amis des fleurs,1836-01-01T01:00:00Z,Rouen,https://cths.fr/an/societe.php?id=3709
Lugdunum Florentia,1888-01-01T01:00:00Z,Pierre-Bénite,https://cths.fr/an/societe.php?id=100163
"Météo et climat, Société française de la météorologie et du climat (SMF)",1852-01-01T01:00:00Z,Saint-Mandé,https://cths.fr/an/societe.php?id=2290
Oeuvre de l'aide aux missions d'Afrique,1888-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=4666
Photo-club de Paris,1888-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=2921
"Société académique d'archéologie, sciences et arts du département de l'Oise",1847-01-01T01:00:00Z,Beauvais,https://cths.fr/an/societe.php?id=1646
"Société académique d'histoire, d'archéologie, des arts et des lettres de Chauny (SAC)",1884-01-01T01:00:00Z,Chauny,https://cths.fr/an/societe.php?id=1140
Société académique de l'Aube,1798-01-01T01:00:00Z,Troyes,https://cths.fr/an/societe.php?id=1485
Société académique de l'Oise,1847-01-01T01:00:00Z,Beauvais,https://cths.fr/an/societe.php?id=5097
Société académique de Nantes et de la Loire-Atlantique (SANLA),1798-01-01T01:00:00Z,Nantes,https://cths.fr/an/societe.php?id=2524
Société académique de Saint-Quentin (SASQ),1825-01-01T01:00:00Z,Saint-Quentin,https://cths.fr/an/societe.php?id=48
Société académique des antiquaires de la Morinie (SAAM),1832-01-01T01:00:00Z,Clairmarais,https://cths.fr/an/societe.php?id=1279
Société académique des Hautes-Pyrénées (SAHP),1853-01-01T01:00:00Z,Tarbes,https://cths.fr/an/societe.php?id=550
Société académique du Bas-Rhin,1799-01-01T01:00:00Z,Obernai,https://cths.fr/an/societe.php?id=1880
Société académique du Boulonnais,1863-01-01T01:00:00Z,Boulogne-sur-Mer,https://cths.fr/an/societe.php?id=1295
Société académique du Cotentin,1872-01-01T01:00:00Z,Coutances,https://cths.fr/an/societe.php?id=100795
Société académique du Puy-en-Velay et de la Haute-Loire,1798-01-01T01:00:00Z,Le Puy-en-Velay,https://cths.fr/an/societe.php?id=1602
Société académique d’architecture de Lyon (SAAL),1829-01-01T01:00:00Z,Lyon,https://cths.fr/an/societe.php?id=1225
Société académique indochinoise de Paris,1877-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=100359
"Société agricole, scientifique et littéraire des Pyrénées-Orientales (SASL)",1833-01-01T01:00:00Z,Perpignan,https://cths.fr/an/societe.php?id=1182
Société anatomique de Nantes,1879-01-01T01:00:00Z,Nantes,https://cths.fr/an/societe.php?id=3165
Société anatomique de Paris (SAP),1803-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=1236
Société archéologique d'Eure-et-Loir (SAEL),1856-01-01T01:00:00Z,Chartres,https://cths.fr/an/societe.php?id=319
Société archéologique de Bordeaux (SAB),1873-01-01T01:00:00Z,Bordeaux,https://cths.fr/an/societe.php?id=124
Société archéologique de Montpellier  (SAM),1833-01-01T01:00:00Z,Montpellier,https://cths.fr/an/societe.php?id=1609
Société archéologique de Sens (SAS),1844-01-01T01:00:00Z,Sens,https://cths.fr/an/societe.php?id=828
Société archéologique de Touraine (SAT),1840-01-01T01:00:00Z,Tours,https://cths.fr/an/societe.php?id=332
Société archéologique du Finistère (SAF),1873-01-01T01:00:00Z,Quimper,https://cths.fr/an/societe.php?id=757
Société archéologique du Midi de la France (SAM),1831-01-01T01:00:00Z,Toulouse,https://cths.fr/an/societe.php?id=1635
Société archéologique du Morbihan,1858-01-01T01:00:00Z,Vannes,https://cths.fr/an/societe.php?id=1910
Société archéologique et historique d'Ille-et-Vilaine (SAHIV),1844-01-01T01:00:00Z,Rennes,https://cths.fr/an/societe.php?id=1741
Société archéologique et historique de l'arrondissement d'Avesnes (SAHAA),1831-01-01T01:00:00Z,Avesnes-sur-Helpe,https://cths.fr/an/societe.php?id=1497
Société archéologique et historique de l'Orléanais (SAHO),1848-01-01T01:00:00Z,Orléans,https://cths.fr/an/societe.php?id=329
Société archéologique et historique de la Charente  (SAHC),1844-01-01T01:00:00Z,Angoulême,https://cths.fr/an/societe.php?id=1868
Société archéologique et historique de Nantes et de Loire-Atlantique (SAHNLA),1845-01-01T01:00:00Z,Nantes,https://cths.fr/an/societe.php?id=1520
Société archéologique et historique de Vervins et de la Thiérache (SAHVT),1873-01-01T01:00:00Z,Vervins,https://cths.fr/an/societe.php?id=1131
Société archéologique et historique des Côtes d'Armor,1843-01-01T01:00:00Z,Saint-Brieuc,https://cths.fr/an/societe.php?id=2922
Société archéologique et historique du Châtillonnais (SAHC21),1880-01-01T01:00:00Z,Châtillon-sur-Seine,https://cths.fr/an/societe.php?id=100036
Société archéologique et historique du Limousin (SAHLIM),1845-01-01T01:00:00Z,Limoges,https://cths.fr/an/societe.php?id=51
Société archéologique et historique du Tarn-et-Garonne (SAHTG),1866-01-01T01:00:00Z,Montauban,https://cths.fr/an/societe.php?id=3254
"Société archéologique, historique et scientifique de Soissons (SAHS)",1650-01-01T01:00:00Z,Soissons,https://cths.fr/an/societe.php?id=1670
"Société archéologique, scientifique et littéraire de Béziers (SASLB)",1723-01-01T01:00:00Z,Béziers,https://cths.fr/an/societe.php?id=654
"Société archéologique, scientifique et littéraire du Vendômois (SAV)",1862-01-01T01:00:00Z,Vendôme,https://cths.fr/an/societe.php?id=853
"Société ariégeoise des sciences, lettres et arts (SASLA)",1881-01-01T01:00:00Z,Foix,https://cths.fr/an/societe.php?id=265
Société asiatique,1822-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=1136
Société astronomique de France (SAF),1887-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=2111
Société belfortaine d'émulation (SBE),1872-01-01T01:00:00Z,Belfort,https://cths.fr/an/societe.php?id=787
Société bibliographique,1868-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=3012
Société botanique de France (SBF),1854-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=349
Société botanique de Lyon,1872-01-01T01:00:00Z,Lyon,https://cths.fr/an/societe.php?id=100025
Société botanique du Centre-Ouest (SBCO),1888-01-01T01:00:00Z,Jarnac,https://cths.fr/an/societe.php?id=706
Société bourguignonne de géographie et d'histoire,1881-01-01T01:00:00Z,Dijon,https://cths.fr/an/societe.php?id=2967
Société cantalienne,1838-01-01T01:00:00Z,Aurillac,https://cths.fr/an/societe.php?id=3023
Société centrale d'agriculture de l'Aveyron,1798-01-01T01:00:00Z,Rodez,https://cths.fr/an/societe.php?id=3022
Société centrale d'agriculture de la Seine-Maritime (SCA),1762-01-01T01:00:00Z,Bois-Guillaume,https://cths.fr/an/societe.php?id=1883
Société centrale d'agriculture du département de la Savoie,1857-01-01T01:00:00Z,Chambéry,https://cths.fr/an/societe.php?id=100664
Société centrale d'agriculture et d'horticulture de Nice et des Alpes-Maritimes (SCAH-Nice),1860-01-01T01:00:00Z,Nice,https://cths.fr/an/societe.php?id=4002
Société centrale d'apiculture (SCA),1855-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=100560
Société centrale d'horticulture de Caen et du Calvados (SCHCC),1835-01-01T01:00:00Z,Caen,https://cths.fr/an/societe.php?id=100059
