Nom Société,Date_Creation,Ville,Presence_Quicherat,Id_CTHS
"Académie d'agriculture, sciences, arts et belles-lettres d'Orléans",1809-01-01T01:00:00Z,Orléans,true,https://cths.fr/an/societe.php?id=1641
Académie d'Arcadie,1690-01-01T01:00:00Z,Le Mont-Saint-Adrien,true,https://cths.fr/an/societe.php?id=3069
Académie d'Auxerre,1749-01-01T01:00:00Z,Auxerre,true,https://cths.fr/an/societe.php?id=2816
Académie de la Val d'Isère (ADVI),1865-01-01T01:00:00Z,Moûtiers,true,https://cths.fr/an/societe.php?id=21
Académie de législation,1851-01-01T01:00:00Z,Toulouse,true,https://cths.fr/an/societe.php?id=269
Académie de Nîmes,1635-01-01T01:00:00Z,Nîmes,true,https://cths.fr/an/societe.php?id=247
Académie de Vaucluse,1801-01-01T01:00:00Z,Avignon,true,https://cths.fr/an/societe.php?id=1561
Académie de Versailles et d'Île-de-France,1834-01-01T01:00:00Z,Versailles,true,https://cths.fr/an/societe.php?id=1457
Académie delphinale,1772-01-01T01:00:00Z,Grenoble,true,https://cths.fr/an/societe.php?id=611
Académie des arts et belles-lettres d'Arles (Académie d'Arles),1666-01-01T01:00:00Z,Arles,true,https://cths.fr/an/societe.php?id=575
Académie des arts et sciences de Carcassonne,1836-01-01T01:00:00Z,Carcassonne,true,https://cths.fr/an/societe.php?id=243
Académie des jeux floraux,1323-01-01T01:00:00Z,Toulouse,true,https://cths.fr/an/societe.php?id=543
Académie des Lincei,1603-01-01T01:00:00Z,Le Mont-Saint-Adrien,true,https://cths.fr/an/societe.php?id=4147
Académie des sciences de l'Institut de Bologne,1690-01-01T01:00:00Z,Bologne,true,https://cths.fr/an/societe.php?id=4470
"Académie des sciences, agriculture, art et belles-lettres d'Aix-en-Provence",1808-01-01T01:00:00Z,Aix-en-Provence,true,https://cths.fr/an/societe.php?id=2320
"Académie des sciences, arts et belles-lettres de Caen",1652-01-01T01:00:00Z,Caen,true,https://cths.fr/an/societe.php?id=1711
"Académie des sciences, arts et belles-lettres de Dijon",1725-01-01T01:00:00Z,Dijon,true,https://cths.fr/an/societe.php?id=1848
"Académie des sciences, arts et belles-lettres de Mâcon (Académie de Mâcon)",1805-01-01T01:00:00Z,Mâcon,true,https://cths.fr/an/societe.php?id=815
"Académie des sciences, arts et belles-lettres de Touraine (Académie de Touraine)",1761-01-01T01:00:00Z,Tours,true,https://cths.fr/an/societe.php?id=1627
"Académie des sciences, belles-lettres et arts de Besançon et de Franche-Comté",1752-01-01T01:00:00Z,Besançon,true,https://cths.fr/an/societe.php?id=1718
"Académie des sciences, belles-lettres et arts de Clermont-Ferrand (ACAD-SBLA)",1747-01-01T01:00:00Z,Clermont-Ferrand,true,https://cths.fr/an/societe.php?id=1615
"Académie des sciences, belles-lettres et arts de Lyon (SBLA-Lyon)",1700-01-01T01:00:00Z,Lyon,true,https://cths.fr/an/societe.php?id=1584
"Académie des sciences, belles-lettres et arts de Rouen (Académie de Rouen)",1744-01-01T01:00:00Z,Rouen,true,https://cths.fr/an/societe.php?id=1516
"Académie des sciences, belles-lettres et arts de Savoie (Académie de Savoie)",1820-01-01T01:00:00Z,Chambéry,true,https://cths.fr/an/societe.php?id=9
"Académie des sciences, belles-lettres et arts d’Angers (Académie d'Angers)",1685-01-01T01:00:00Z,Angers,true,https://cths.fr/an/societe.php?id=1583
"Académie des sciences, inscriptions et belles-lettres de Toulouse (ASIBL)",1640-01-01T01:00:00Z,Toulouse,true,https://cths.fr/an/societe.php?id=270
"Académie des sciences, lettres et arts d'Agen",1776-01-01T01:00:00Z,Agen,true,https://cths.fr/an/societe.php?id=116
"Académie des sciences, lettres et arts d'Amiens",1746-01-01T01:00:00Z,Amiens,true,https://cths.fr/an/societe.php?id=1493
"Académie des sciences, lettres et arts d'Arras (Académie d'Arras)",1737-01-01T01:00:00Z,Arras,true,https://cths.fr/an/societe.php?id=1274
"Académie des sciences, lettres et arts de Marseille (Académie de Marseille)",1726-01-01T01:00:00Z,Marseille,true,https://cths.fr/an/societe.php?id=199
Académie du Centre,1878-01-01T01:00:00Z,Châteauroux,true,https://cths.fr/an/societe.php?id=320
Académie nationale de Reims (ANR),1841-01-01T01:00:00Z,Reims,true,https://cths.fr/an/societe.php?id=75
"Académie nationale des sciences, belles-lettres et arts de Bordeaux",1712-01-01T01:00:00Z,Bordeaux,true,https://cths.fr/an/societe.php?id=957
Académie nationale des XL,1782-01-01T01:00:00Z,Le Mont-Saint-Adrien,true,https://cths.fr/an/societe.php?id=4036
"Académie réunionnaise des sciences, lettres et arts",1855-01-01T01:00:00Z,Saint-Denis,true,https://cths.fr/an/societe.php?id=100296
Académie royale des belles-lettres d'Angers,1685-01-01T01:00:00Z,Angers,true,https://cths.fr/an/societe.php?id=100809
Académie royale des sciences et beaux-arts de Pau,1718-01-01T01:00:00Z,Pau,true,https://cths.fr/an/societe.php?id=100777
Académie royale des sciences et belles lettres de Béziers,1723-01-01T01:00:00Z,Béziers,true,https://cths.fr/an/societe.php?id=100741
Alliance universitaire d'Auvergne,1884-01-01T01:00:00Z,Clermont-Ferrand,true,https://cths.fr/an/societe.php?id=2197
"Amis de l'Académie de sciences, arts et belles-lettres de Rouen",1752-01-01T01:00:00Z,Rouen,true,https://cths.fr/an/societe.php?id=3684
Amis du musée d'histoire de la médecine et de la pharmacie,1854-01-01T01:00:00Z,Lyon,true,https://cths.fr/an/societe.php?id=100235
Association lyonnaise des amis des sciences naturelles,1872-01-01T01:00:00Z,Lyon,true,https://cths.fr/an/societe.php?id=100375
"Association normande pour les progrès de l'agriculture, de l'industrie et des arts de Caen (Association normande de CAen)",1831-01-01T01:00:00Z,Caen,true,https://cths.fr/an/societe.php?id=100042
Association philomathique d'Alsace et de Lorraine,1862-01-01T01:00:00Z,Strasbourg,true,https://cths.fr/an/societe.php?id=161
Association pyrénéenne,1888-01-01T01:00:00Z,Toulouse,true,https://cths.fr/an/societe.php?id=100266
Casino commercial et littéraire,1814-01-01T01:00:00Z,Strasbourg,true,https://cths.fr/an/societe.php?id=1878
Centre d'histoire de la résistance et de la déportation (CHRD),1867-01-01T01:00:00Z,Lyon,true,https://cths.fr/an/societe.php?id=1117
Centre international de documentation et de recherche du Petit Palais d'Avignon (CIDRPPA),1878-01-01T01:00:00Z,Avignon,true,https://cths.fr/an/societe.php?id=597
Cercle généalogique de Loir-et-Cher (CGLC),1000-01-01T01:00:00Z,Blois,true,https://cths.fr/an/societe.php?id=458
Club vosgien,1872-01-01T01:00:00Z,Strasbourg,true,https://cths.fr/an/societe.php?id=2050
Collège international de neuropsychopharmacologie (CINP),1258-01-01T01:00:00Z,Vienne,true,https://cths.fr/an/societe.php?id=4959
Comité des travaux historiques et scientifiques (CTHS),1834-01-01T01:00:00Z,Aubervilliers,true,https://cths.fr/an/societe.php?id=2790
Commission archéologique et littéraire de Narbonne,1833-01-01T01:00:00Z,Narbonne,true,https://cths.fr/an/societe.php?id=666
Commission départementale des antiquités de la Seine-Maritime (CDA),1818-01-01T01:00:00Z,Rouen,true,https://cths.fr/an/societe.php?id=2654
Commission des antiquités du département de la Côte-d'or,1830-01-01T01:00:00Z,Dijon,true,https://cths.fr/an/societe.php?id=1032
Commission des arts et monuments historiques de la Charente-Inférieure,1860-01-01T01:00:00Z,Saintes,true,https://cths.fr/an/societe.php?id=100686
Commission des monuments historiques de la Gironde,1840-01-01T01:00:00Z,Bordeaux,true,https://cths.fr/an/societe.php?id=100465
Congrès provincial des Orientalistes,1878-01-01T01:00:00Z,Lyon,true,https://cths.fr/an/societe.php?id=100631
Consortium des sociétés savantes de la Seine-Maritime,1857-01-01T01:00:00Z,Rouen,true,https://cths.fr/an/societe.php?id=1886
École félibréenne de Lérins,1887-01-01T01:00:00Z,Aix-en-Provence,true,https://cths.fr/an/societe.php?id=3143
Fédération audoise des œuvres laïques (FAOL11),1866-01-01T01:00:00Z,Carcassonne,true,https://cths.fr/an/societe.php?id=1149
Institut des Provinces,1838-01-01T01:00:00Z,Caen,true,https://cths.fr/an/societe.php?id=2822
La lyonnaise des beaux-arts (SLBA),1887-01-01T01:00:00Z,Lyon,true,https://cths.fr/an/societe.php?id=100063
Le Félibrige,1854-01-01T01:00:00Z,Aix-en-Provence,true,https://cths.fr/an/societe.php?id=100054
Les amis des fleurs,1836-01-01T01:00:00Z,Rouen,true,https://cths.fr/an/societe.php?id=3709
"Société académique d'archéologie, sciences et arts du département de l'Oise",1847-01-01T01:00:00Z,Beauvais,true,https://cths.fr/an/societe.php?id=1646
Société académique de l'Aube,1798-01-01T01:00:00Z,Troyes,true,https://cths.fr/an/societe.php?id=1485
Société académique de l'Oise,1847-01-01T01:00:00Z,Beauvais,true,https://cths.fr/an/societe.php?id=5097
Société académique de Nantes et de la Loire-Atlantique (SANLA),1798-01-01T01:00:00Z,Nantes,true,https://cths.fr/an/societe.php?id=2524
Société académique du Bas-Rhin,1799-01-01T01:00:00Z,Obernai,true,https://cths.fr/an/societe.php?id=1880
Société académique du Boulonnais,1863-01-01T01:00:00Z,Boulogne-sur-Mer,true,https://cths.fr/an/societe.php?id=1295
Société académique du Cotentin,1872-01-01T01:00:00Z,Coutances,true,https://cths.fr/an/societe.php?id=100795
Société académique du Puy-en-Velay et de la Haute-Loire,1798-01-01T01:00:00Z,Le Puy-en-Velay,true,https://cths.fr/an/societe.php?id=1602
Société académique d’architecture de Lyon (SAAL),1829-01-01T01:00:00Z,Lyon,true,https://cths.fr/an/societe.php?id=1225
"Société agricole, scientifique et littéraire des Pyrénées-Orientales (SASL)",1833-01-01T01:00:00Z,Perpignan,true,https://cths.fr/an/societe.php?id=1182
Société anatomique de Nantes,1879-01-01T01:00:00Z,Nantes,true,https://cths.fr/an/societe.php?id=3165
Société archéologique d'Eure-et-Loir (SAEL),1856-01-01T01:00:00Z,Chartres,true,https://cths.fr/an/societe.php?id=319
Société archéologique de Bordeaux (SAB),1873-01-01T01:00:00Z,Bordeaux,true,https://cths.fr/an/societe.php?id=124
Société archéologique de Touraine (SAT),1840-01-01T01:00:00Z,Tours,true,https://cths.fr/an/societe.php?id=332
Société archéologique du Finistère (SAF),1873-01-01T01:00:00Z,Quimper,true,https://cths.fr/an/societe.php?id=757
Société archéologique du Midi de la France (SAM),1831-01-01T01:00:00Z,Toulouse,true,https://cths.fr/an/societe.php?id=1635
Société archéologique et historique de l'Orléanais (SAHO),1848-01-01T01:00:00Z,Orléans,true,https://cths.fr/an/societe.php?id=329
Société archéologique et historique de la Charente  (SAHC),1844-01-01T01:00:00Z,Angoulême,true,https://cths.fr/an/societe.php?id=1868
Société archéologique et historique de Nantes et de Loire-Atlantique (SAHNLA),1845-01-01T01:00:00Z,Nantes,true,https://cths.fr/an/societe.php?id=1520
Société archéologique et historique des Côtes d'Armor,1843-01-01T01:00:00Z,Saint-Brieuc,true,https://cths.fr/an/societe.php?id=2922
Société archéologique et historique du Limousin (SAHLIM),1845-01-01T01:00:00Z,Limoges,true,https://cths.fr/an/societe.php?id=51
"Société archéologique, historique et scientifique de Soissons (SAHS)",1650-01-01T01:00:00Z,Soissons,true,https://cths.fr/an/societe.php?id=1670
"Société archéologique, scientifique et littéraire de Béziers (SASLB)",1723-01-01T01:00:00Z,Béziers,true,https://cths.fr/an/societe.php?id=654
"Société ariégeoise des sciences, lettres et arts (SASLA)",1881-01-01T01:00:00Z,Foix,true,https://cths.fr/an/societe.php?id=265
Société botanique de Lyon,1872-01-01T01:00:00Z,Lyon,true,https://cths.fr/an/societe.php?id=100025
Société bourguignonne de géographie et d'histoire,1881-01-01T01:00:00Z,Dijon,true,https://cths.fr/an/societe.php?id=2967
Société cantalienne,1838-01-01T01:00:00Z,Aurillac,true,https://cths.fr/an/societe.php?id=3023
Société centrale d'agriculture de l'Aveyron,1798-01-01T01:00:00Z,Rodez,true,https://cths.fr/an/societe.php?id=3022
Société centrale d'agriculture du département de la Savoie,1857-01-01T01:00:00Z,Chambéry,true,https://cths.fr/an/societe.php?id=100664
Société centrale d'agriculture et d'horticulture de Nice et des Alpes-Maritimes (SCAH-Nice),1860-01-01T01:00:00Z,Nice,true,https://cths.fr/an/societe.php?id=4002
Société centrale d'horticulture de Caen et du Calvados (SCHCC),1835-01-01T01:00:00Z,Caen,true,https://cths.fr/an/societe.php?id=100059
Société chrétienne,1804-01-01T01:00:00Z,Lyon,true,https://cths.fr/an/societe.php?id=100514
Société d'agriculture  de Lyon,1761-01-01T01:00:00Z,Lyon,true,https://cths.fr/an/societe.php?id=2815
Société d'agriculture de Compiègne,1844-01-01T01:00:00Z,Compiègne,true,https://cths.fr/an/societe.php?id=100766
Société d'agriculture de l'arrondissement de Grenoble,1836-01-01T01:00:00Z,Grenoble,true,https://cths.fr/an/societe.php?id=100605
Société d'agriculture de l'arrondissement de Meaux,1838-01-01T01:00:00Z,Meaux,true,https://cths.fr/an/societe.php?id=1462
Société d'agriculture du Cher,1818-01-01T01:00:00Z,Bourges,true,https://cths.fr/an/societe.php?id=100382
Société d'agriculture du département de Seine-et-Oise ,1798-01-01T01:00:00Z,Versailles,true,https://cths.fr/an/societe.php?id=100369
Société d'agriculture du Soissonnais,1671-01-01T01:00:00Z,Soissons,true,https://cths.fr/an/societe.php?id=2817
Société d'agriculture et d'horticulture de Vaucluse,1848-01-01T01:00:00Z,Avignon,true,https://cths.fr/an/societe.php?id=100730
Société d'agriculture et des arts de Boulogne-sur-mer,1796-01-01T01:00:00Z,Boulogne-sur-Mer,true,https://cths.fr/an/societe.php?id=4756
"Société d'agriculture, belles-lettres et arts de Poitiers",1817-01-01T01:00:00Z,Poitiers,true,https://cths.fr/an/societe.php?id=2820
"Société d'agriculture, commerce et arts de la Drôme",1836-01-01T01:00:00Z,Valence,true,https://cths.fr/an/societe.php?id=100473
"Société d'agriculture, commerce, sciences et arts de la Marne",1798-01-01T01:00:00Z,Châlons-en-Champagne,true,https://cths.fr/an/societe.php?id=1766
"Société d'agriculture, des sciences et des arts de la Haute-Vienne",1801-01-01T01:00:00Z,Limoges,true,https://cths.fr/an/societe.php?id=100523
"Société d'agriculture, sciences et arts d'Angers",1828-01-01T01:00:00Z,Angers,true,https://cths.fr/an/societe.php?id=4663
"Société d'agriculture, sciences et arts de la Sarthe (SASAS)",1761-01-01T01:00:00Z,Le Mans,true,https://cths.fr/an/societe.php?id=218
"Société d'agriculture, sciences, arts et belles-lettres d'Indre-et-Loire",1808-01-01T01:00:00Z,Tours,true,https://cths.fr/an/societe.php?id=100260
Société d'anthropologie de Lyon,1881-01-01T01:00:00Z,Lyon,true,https://cths.fr/an/societe.php?id=2835
Société d'anthropologie du Sud-Ouest (SASO),1884-01-01T01:00:00Z,Bordeaux,true,https://cths.fr/an/societe.php?id=123
Société d'archéologie du département de la Somme,1838-01-01T01:00:00Z,Amiens,true,https://cths.fr/an/societe.php?id=4755
Société d'archéologie et d'histoire de la Charente-Maritime (SAHCM),1839-01-01T01:00:00Z,Saintes,true,https://cths.fr/an/societe.php?id=1515
"Société d'archéologie, d'histoire et de géographie de la Drôme (SAHGD)",1866-01-01T01:00:00Z,Valence,true,https://cths.fr/an/societe.php?id=1723
"Société d'archéologie, sciences, lettres et arts du département de Seine-et-Marne",1864-01-01T01:00:00Z,Melun,true,https://cths.fr/an/societe.php?id=1451
Société d'Arcueil,1806-01-01T01:00:00Z,Arcueil,true,https://cths.fr/an/societe.php?id=100345
Société d'économie politique (Bordeaux),1888-01-01T01:00:00Z,Bordeaux,true,https://cths.fr/an/societe.php?id=100709
Société d'économie politique et d'économie sociale de Lyon (SEPEL),1866-01-01T01:00:00Z,Lyon,true,https://cths.fr/an/societe.php?id=2850
Société d'émulation de l'arrondissement de Montargis,1853-01-01T01:00:00Z,Montargis,true,https://cths.fr/an/societe.php?id=844
Société d'émulation de la Provence,1861-01-01T01:00:00Z,Marseille,true,https://cths.fr/an/societe.php?id=100668
Société d'émulation des Côtes-d'Armor,1861-01-01T01:00:00Z,Saint-Brieuc,true,https://cths.fr/an/societe.php?id=1717
Société d'émulation du département des Vosges (SEV),1825-01-01T01:00:00Z,Épinal,true,https://cths.fr/an/societe.php?id=1421
Société d'émulation du Doubs,1840-01-01T01:00:00Z,Besançon,true,https://cths.fr/an/societe.php?id=61
Société d'émulation du Jura,1817-01-01T01:00:00Z,Lons-le-Saunier,true,https://cths.fr/an/societe.php?id=58
Société d'étude des sciences naturelles de Béziers (SESNB),1875-01-01T01:00:00Z,Béziers,true,https://cths.fr/an/societe.php?id=1612
Société d'étude des sciences naturelles de Nîmes et du Gard (SESNNG),1871-01-01T01:00:00Z,Nîmes,true,https://cths.fr/an/societe.php?id=1729
Société d'études d'Avallon (SEA),1859-01-01T01:00:00Z,Avallon,true,https://cths.fr/an/societe.php?id=100258
Société d'études des Hautes-Alpes (SEHA),1802-01-01T01:00:00Z,Gap,true,https://cths.fr/an/societe.php?id=585
Société d'études du milieu naturel en Mâconnais (SEMINA),1877-01-01T01:00:00Z,Mâcon,true,https://cths.fr/an/societe.php?id=1040
Société d'études scientifiques de Lyon (SESL),1870-01-01T01:00:00Z,Lyon,true,https://cths.fr/an/societe.php?id=3565
Société d'histoire de Lyon,1807-01-01T01:00:00Z,Lyon,true,https://cths.fr/an/societe.php?id=5022
Société d'histoire du canton de Fribourg (SHCF),1840-01-01T01:00:00Z,Fribourg,true,https://cths.fr/an/societe.php?id=100276
Société d'histoire du diocèse de Nîmes,1876-01-01T01:00:00Z,Nîmes,true,https://cths.fr/an/societe.php?id=1157
Société d'histoire et d'archéologie de Chalon-sur-Saône,1845-01-01T01:00:00Z,Chalon-sur-Saône,true,https://cths.fr/an/societe.php?id=1653
